 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, diffimgstatus, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 26 653 16 2 ZTF_g 553468226115 0 2.0256 60.7787 6.35648 25.8736 4.7742e-06 0.0357067 -0.0443645 9.94637e-06 1559 30. 0.055253 0.039918 20.0764 25.8736 1 2458307.9682292 653120161 1 -4.19344423737 28.630301 -0.162930 0.994565 15.88908211776 51.295620 0.311841 1.090400 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 27 653 16 1 ZTF_g 553468226015 0 2.0734 64.0452 6.4959 25.965 5.114e-06 0.0354678 -0.0513332 1.06068e-05 1395 30. 0.055978 0.041051 20.1332 25.965 1 2458307.9682292 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 28 698 3 3 ZTF_r 556450941015 0 2.5641 142.979 5.36339 25.9287 2.7103e-06 0.0267531 0.0963098 5.38112e-06 1487 30. 0.060643 0.057083 20.2318 25.9287 1 2458310.9509491 698120210 1 29.91151690906 27.202484 1.223164 0.946506 -20.01252648272 45.160137 -0.446130 1.065811 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
 29 653 16 2 ZTF_r 558447306115 0 1.6195 210.84 5.37244 25.8203 1.8157e-06 0.0225435 0.0888661 3.54307e-06 1624 30. 0.045009 0.04185 20.349 25.8203 1 2458312.9473032 653120261 1 34.67268946847 21.694174 1.777867 0.963206 18.90023880423 40.075035 0.474798 1.084027 0.0960824501012838 20.5690001487732 0.068000003695488 1.04299998283386 0.0240000002086163 2458301.945833 2458361.999051 0
 30 653 16 1 ZTF_r 558447306015 0 1.62 184.124 5.6758 25.9051 1.9664e-06 0.0225311 0.0919874 3.75133e-06 1447 30. 0.043944 0.040746 20.4214 25.9051 1 2458312.9473032 653120260 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458301.945833 2458364.983044 57,61
 31 652 13 1 ZTF_r 558452104815 0 1.9712 248.223 5.34643 25.8857 1.983e-06 0.0231591 0.0829676 3.72736e-06 1552 30. 0.052236 0.044919 20.3162 25.8857 1 2458312.9521065 652120248 1 8.11207244677 20.980099 0.430110 1.061441 77.33449472857 40.067696 1.943095 1.063726 0.2331930961443 20.5160001754761 0.0509999990463257 0.794000029563904 0 2458303.966667 2458364.883264 0
 32 652 13 1 ZTF_g 558475234815 0 1.5757 59.0813 4.73714 25.9532 3.1526e-06 0.0291886 -0.0337347 6.02494e-06 1541 30. 0.046515 0.040158 20.6244 25.9532 1 2458312.9752315 652120148 1 21.41496038711 22.925781 1.039078 1.016002 27.12178620943 41.822609 0.652863 1.136681 0.204570163020604 20.2390000343323 0.0500000007450581 1.37600004673004 -0.108999997377396 2458303.952060 2458352.925799 0
 33 653 16 2 ZTF_g 558487856115 0 2.0737 66.9441 9.87421 25.947 6.9509e-06 0.0394592 -0.0212061 1.69679e-05 1383 30. 0.048052 0.040128 19.6358 25.947 1 2458312.9878588 653120161 1 76.71370743258 55.452747 1.538880 0.923833 66.68608140496 94.426071 0.710982 1.125497 0.151207265367039 20.2149998664856 0.0370000004768372 0.726000010967255 0.046000000089407 2458304.966412 2458349.953391 0
 34 653 16 1 ZTF_g 558487856015 0 2.307 70.0107 10.3741 26.0441 6.7957e-06 0.0373599 -0.0236301 1.65902e-05 1219 30. 0.048485 0.036827 19.6879 26.0441 1 2458312.9878588 653120160 1 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458304.966412 2458347.975521 57,61
 35 698 3 3 ZTF_r 559429431015 0 1.8734 143.742 5.64532 25.9386 2.4034e-06 0.0252651 0.0904266 4.74419e-06 1495 30. 0.078069 0.047189 20.3548 25.9386 1 2458313.9294329 698120210 1 6.48648747002 23.455606 0.307622 0.906621 -1.13042353247 44.735657 -0.025439 1.038635 0.00755360897509477 20.5009998321533 0.0419999994337559 1.12999999523163 0.0199999995529652 2458300.923935 2458441.795822 0
