 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 648 1 0 ZTF_g 526453470015 0 2.0132 102.397 4.80958 26.1094 7.0183e-06 0.0296079 -0.0424623 1.10535e-05 866 30. 0.057989 0.04155 20.6871 26.1094 1 2458280.9534722 648120100 32.6869632663732 19.1691427678745 1.89682246312112 1.15207472126649 95.6936263263624 34.4951025327944 2.79280597336408 1.06482938429938 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 20 648 1 0 ZTF_r 526468140015 0 2.2648 285.644 6.12564 26.0732 4.4722e-06 0.0235087 0.0848417 7.01595e-06 865 30. 0.058239 0.040231 20.2544 26.0732 3 2458280.9681481 648120200 -12.0093704882425 26.1459062441843 -0.51094169519412 0.936828762764267 -27.2034796216487 47.0587406711608 -0.581968327912219 1.04516713141847 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 21 648 1 0 ZTF_r 526476730015 0 1.9836 285.204 8.19368 26.0642 4.4005e-06 0.0232198 0.0965481 6.88265e-06 864 30. 0.059889 0.037159 20.0949 26.0642 1 2458280.9767361 648120200 -52.3014090815275 31.65723544444 -1.8377871242071 0.997867012866255 -47.3673135463669 58.8459559504194 -0.810358746972414 1.05344939091139 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 22 648 1 0 ZTF_r 527473400015 0 1.9014 291.869 6.67735 26.0781 4.6293e-06 0.0238244 0.0977592 7.22067e-06 870 30. 0.058442 0.036559 20.3601 26.0781 3 2458281.9734028 648120200 39.4629033959564 27.7540403290552 1.58167634829926 0.940231547555649 109.941162932576 50.6708770285339 2.18432420121827 1.06056514375091 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 23 648 1 0 ZTF_g 528422660015 0 2.3549 82.0626 4.36929 25.8738 8.8913e-06 0.0330587 -0.0528923 1.42495e-05 858 30. 0.075262 0.052478 20.3748 25.8738 3 2458282.922662 648120100 48.5502565516903 19.5671892123801 2.76005594860411 0.998902351215018 61.3393762571696 33.4905470208088 1.84387852629126 1.05805673994615 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 24 648 1 0 ZTF_r 528467730015 0 2.2166 209.819 6.00803 25.7266 5.3826e-06 0.025854 0.101688 8.44149e-06 869 30. 0.062098 0.038597 19.9424 25.7266 3 2458282.9677315 648120200 -10.7212451920103 25.6712005540522 -0.46457287579176 1.01544189199571 -31.3246728332704 44.9717765631476 -0.701231944056813 1.0630253057003 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 25 648 1 0 ZTF_g 529447030015 0 2.4634 102.214 4.41714 26.1055 7.5376e-06 0.0304721 -0.0397498 1.20738e-05 863 30. 0.064393 0.045402 20.5634 26.1055 1 2458283.947037 648120100 -1.19070733838054 21.6184486798719 -0.0612682259259558 0.945322690893979 -38.0636910766995 36.0013247502222 -1.06440672647346 1.07244121089981 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 26 648 1 0 ZTF_g 529447960015 0 2.4238 107.236 4.5038 26.1096 7.8054e-06 0.0311718 -0.0412002 1.23283e-05 864 30. 0.062864 0.046858 20.5577 26.1096 3 2458283.947963 648120100 -20.7243923974974 23.4431597329994 -0.983377938833262 0.942380363900727 -16.6385275185382 39.1833292135717 -0.427492744870437 1.07144279540787 0.361259646257394 19.0949999809265 0.0179999992251396 0.41499999165535 0.00999999977648258 2458274.952523 2458292.946053 0
 27 648 1 0 ZTF_r 529467280015 0 2.5636 284.333 5.73571 26.0702 4.686e-06 0.024104 0.0985872 7.36853e-06 866 30. 0.064025 0.043023 20.1844 26.0702 3 2458283.9672801 648120200 -59.3939469335859 29.0913228103207 -2.27108567635721 1.05733585697273 -37.4571524076077 47.1826327038677 -0.79922264450232 1.07476813623265 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
 28 648 1 0 ZTF_r 529468190015 0 2.7161 286.721 5.77106 26.0693 5.304e-06 0.0255835 0.0975061 8.30373e-06 864 30. 0.064378 0.043827 20.1197 26.0693 1 2458283.9681944 648120200 -7.69942671799442 32.2556457346557 -0.265526242838562 0.907658679833642 -36.8502429864875 50.8322674548342 -0.729820512652515 1.07947631441967 0.328343327799193 19.2509998321533 0.0179999992251396 0.230000004172325 0.00100000004749745 2458273.930521 2458289.970046 0
