 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 285 6 1 ZTF_g 566398102015 0 2.6964 151.721 6.74945 25.4327 1.12189e-05 0.0373505 -0.105051 3.50841e-05 2002 30. 0.05875 0.063796 19.3964 25.4327 1 2458320.8981019 285120120 -9.19843813709 29.843731 -0.342859 0.958156 49.41942334046 50.367619 0.987783 1.038694 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 20 285 6 1 ZTF_g 577292582015 0 2.1069 253.328 12.7364 25.9539 4.2929e-06 0.0236654 -0.0202338 1.33432e-05 2038 30. 0.052042 0.072094 19.6228 25.9539 1 2458331.792581 285120120 -41.69875311601 50.916050 -0.911010 0.883213 -47.22595249282 86.808029 -0.547692 1.073645 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 21 285 6 1 ZTF_g 580315122015 0 2.1305 261.389 8.25481 25.9855 2.6893e-06 0.018432 -0.0166083 8.36693e-06 2026 30. 0.054514 0.068536 20.1159 25.9855 1 2458334.8151273 285120120 -44.02933463895 29.206093 -1.676963 0.905067 -58.82271661921 49.417717 -1.198333 1.078301 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 22 285 6 1 ZTF_r 580335562015 0 2.0623 405.799 10.3782 26.1109 2.0933e-06 0.0161942 0.0868121 6.52566e-06 2039 30. 0.056857 0.066672 19.9597 26.1109 1 2458334.8355671 285120220 -37.9504950041 37.804050 -1.116693 0.917870 -82.73633701001 66.460213 -1.253285 1.065328 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 23 285 6 1 ZTF_r 583322702015 0 1.8029 422.392 8.31322 26.1604 2.0503e-06 0.0159853 0.0826553 6.40655e-06 2043 30. 0.041467 0.050355 20.3522 26.1604 1 2458337.8227083 285120220 26.9179755761 27.283791 1.097470 0.921785 -29.8615507377 53.261974 -0.564430 1.038541 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 24 285 6 1 ZTF_r 588317832015 0 2.3713 353.11 9.0191 25.9773 1.9261e-06 0.0154359 0.0822596 6.02778e-06 2038 30. 0.052392 0.075989 19.7526 25.9773 1 2458342.8178356 285120220 2.29240226704 39.371593 0.064768 0.924192 -5.69255630576 68.711586 -0.083405 1.048508 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 25 285 6 1 ZTF_g 591308472015 0 2.6884 244.011 5.91907 25.9322 5.8587e-06 0.0269971 -0.0634521 1.83698e-05 2002 30. 0.070438 0.069634 20.0083 25.9322 1 2458345.8084722 285120120 17.70678105471 28.915583 0.681181 0.937492 21.27991753109 46.998711 0.455826 1.053451 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 26 285 6 1 ZTF_r 591315242015 0 2.0379 394.237 8.25692 26.0625 2.3469e-06 0.0169871 0.087695 7.33986e-06 2001 30. 0.060352 0.063646 20.1319 26.0625 1 2458345.8152431 285120220 -18.09325275256 33.184143 -0.606514 0.893395 25.4874704203 60.692451 0.422773 1.049357 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 27 285 6 1 ZTF_r 594209932015 0 2.4269 412.638 9.92811 26.1217 2.8735e-06 0.018841 0.0697055 9.00988e-06 2014 30. 0.073439 0.101344 19.7483 26.1217 1 2458348.7099306 285120220 -5.84838687741 41.646523 -0.156211 0.999501 7.89909017321 74.061317 0.107374 1.039137 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 28 285 6 1 ZTF_g 608252142015 0 2.4151 298.919 8.26368 26.1354 2.9237e-06 0.0190655 -0.0365878 9.15783e-06 2009 30. 0.047123 0.070399 20.0668 26.1354 1 2458362.7521412 285120120 13.02030660951 34.087055 0.424900 1.078157 -66.81788370886 56.244053 -1.196000 1.073914 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 29 285 6 1 ZTF_r 611188662015 0 2.2802 420.112 7.34787 26.1346 1.3943e-06 0.0131441 0.0822928 4.35678e-06 2016 30. 0.047564 0.055285 20.1799 26.1346 1 2458365.688669 285120220 16.15289702619 31.836969 0.564382 0.893248 65.41298577726 56.332657 1.169012 1.048809 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 30 285 6 1 ZTF_g 611272292015 0 3.2504 259.498 6.53031 25.9683 3.10171e-05 0.0618729 -0.0412387 9.69915e-05 2000 30. 0.074379 0.108925 19.7752 25.9683 1 2458365.7722917 285120120 3.72468621954 36.123974 0.114696 0.957070 -24.03012472739 52.271309 -0.462815 1.074266 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 31 285 6 1 ZTF_r 882417772015 0 1.936 398.311 6.0446 26.0859 1.6205e-06 0.0140949 0.0844226 5.08247e-06 2016 30. 0.051164 0.067924 20.4222 26.0859 1 2458636.9177778 285120220 23.75222395406 22.518200 1.173344 0.949290 -0.04621772099 42.585114 -0.001093 1.036697 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 32 285 6 1 ZTF_g 882479822015 0 2.2639 258.114 11.0652 25.9988 3.7282e-06 0.0213432 -0.0610654 1.16714e-05 2003 30. 0.050374 0.068501 19.6329 25.9988 1 2458636.9798264 285120120 44.0127441476 44.461674 1.101152 0.961092 -10.44500727505 79.754982 -0.131846 1.038230 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 33 285 6 1 ZTF_g 888396972015 0 2.4654 284.405 4.67116 26.0966 2.4604e-06 0.0172909 -0.0635537 7.67708e-06 1987 30. 0.058404 0.063532 20.4329 26.0966 1 2458642.8969792 285120120 9.88902509315 23.220095 0.473745 1.011422 7.39130712128 38.843452 0.191566 1.049881 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 34 285 6 1 ZTF_r 888471072015 0 2.1276 438.292 6.98473 26.1806 1.2842e-06 0.0125895 0.0811416 4.00366e-06 2001 30. 0.051724 0.054046 20.2319 26.1806 1 2458642.9710764 285120220 -27.25517562722 29.485542 -1.028240 0.980220 -57.11258545102 53.917835 -1.066386 1.041772 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 35 285 6 1 ZTF_g 891400562015 0 2.4919 264.751 5.79572 26.0275 3.5111e-06 0.0207088 -0.0817677 1.09681e-05 1990 30. 0.062796 0.069201 20.1678 26.0275 1 2458645.9005671 285120120 -7.19497201981 26.505550 -0.301958 0.984368 -35.92262505346 45.587646 -0.793298 1.039965 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 36 285 6 1 ZTF_r 891480242015 0 1.896 406.199 12.315 26.0871 2.8016e-06 0.0184707 0.0767809 8.75885e-06 1997 30. 0.046142 0.063033 19.646 26.0871 1 2458645.9802431 285120220 7.88731915913 40.280045 0.217818 1.151478 66.97122395349 78.113983 0.863127 1.034419 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 37 285 6 1 ZTF_g 895375842015 0 2.5249 255.49 18.1826 25.9847 6.5164e-06 0.028578 -0.0611413 2.03295e-05 1995 30. 0.056523 0.065144 18.8361 25.9847 1 2458649.8758449 285120120 -40.40113756642 85.497406 -0.525649 1.054026 89.58747222019 142.167511 0.634398 1.050860 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 38 285 6 1 ZTF_r 895480922015 0 1.8959 391.974 12.2942 26.0545 1.5684e-06 0.0138523 0.0840421 4.90906e-06 2014 30. 0.043806 0.048438 19.6298 26.0545 1 2458649.9809259 285120220 -45.64643783375 44.114964 -1.151001 1.063064 -153.68938018197 85.059959 -1.819005 1.038665 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 39 285 6 1 ZTF_r 901375912015 0 3.8971 425.907 17.3959 26.1484 5.9571e-06 0.0270177 0.0853635 1.84913e-05 1929 30. 0.078993 0.08673 18.7621 26.1484 1 2458655.8759144 285120220 47.39959744114 124.896820 0.422161 0.915506 -12.42618294294 157.412445 -0.079472 1.210611 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
 40 285 6 1 ZTF_g 901460282015 0 4.117 275.431 18.2215 26.0621 2.12537e-05 0.0419502 -0.0679928 6.81948e-05 1496 30. 0.07352 0.085074 18.5047 26.0621 1 2458655.9602894 285120120 -18.33125416109 140.945206 -0.144676 0.909579 -10.71432043542 173.936035 -0.062014 1.210938 0.20156761177043 19.3259999275208 0.0370000004768372 1.43799996376038 -0.046000000089407 2458236.000810 2458636.979826 0
 41 285 6 1 ZTF_r 904396852015 0 2.2 425.685 9.42749 26.1435 3.0344e-06 0.0189986 0.0791961 9.53195e-06 1941 30. 0.069183 0.078579 19.893 26.1435 1 2458658.8968519 285120220 26.12395492978 33.262218 0.873660 1.105309 87.0338023338 60.054623 1.459005 1.042909 0.193990927576558 19.4520000457764 0.0329999998211861 0.816999971866608 -0.0740000009536743 2458249.986042 2458365.688669 0
